Company Name,Screener Slug,Company Full Name,Stock P/E,Market Cap (Cr),Dividend Yield (%),Profit Growth 3Y (%),Profit Growth 5Y (%),PEG Ratio 3Y,PEG Ratio 5Y,PEGY Ratio 3Y,PEGY Ratio 5Y,VLRT Score,VLRT Breakdown,S-Curve Stage
Chola Financial,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,434,"30,569",0.08,7,27,62.00,16.07,61.30,16.03,5.4,V:2.0 L:10.0 R:6.4 T:3.2,🛡️ Mature
Apollo Tyres,APOLLOTYRE,Apollo Tyres Ltd,14.6,"28,253",1.35,54,21,0.27,0.70,0.26,0.65,10.0,V:10.0 L:10.0 R:10.0 T:10.0,🚀 Inflection
Sungarner Energ.,SEL,Sungarner Energies Ltd,10.8,51.4,0.00,86,97,0.13,0.11,0.13,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Saraswati Commer,ZSARACOM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shayona Eng.,544686,Shayona Engineering Ltd,13.8,56.0,0.00,90,125,0.15,0.11,0.15,0.11,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
KPT Industries,505299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IFB Agro Inds.,IFBAGRO,IFB Agro Industries Ltd,14.3,919,0.00,7,6,2.04,2.38,2.04,2.38,5.0,V:2.0 L:5.6 R:6.4 T:6.0,🛡️ Mature
Onward Technolog,ONWARDTEC,Onward Technologies Ltd,18.9,646,2.75,29,22,0.65,0.86,0.60,0.76,8.5,V:8.4 L:5.6 R:10.0 T:10.0,🚀 Inflection
Trident Lifeline,543616,Trident Lifeline Ltd,15.7,308,0.00,44,96,0.36,0.16,0.36,0.16,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Voith Paper,PORRITSPEN,Voith Paper Fabrics India Ltd,14.7,660,0.67,12,11,1.22,1.34,1.16,1.26,7.1,V:6.4 L:5.6 R:6.4 T:10.0,🛡️ Mature
Prakash Pipes,PPL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dollar Industrie,DOLLAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mahanagar Gas,MGL,Mahanagar Gas Ltd,15.6,"11,265",2.63,-1,4,Negative Growth,3.90,9.57,2.35,4.4,V:0.8 L:8.8 R:2.0 T:6.0,🔻 Declining
Saksoft,SAKSOFT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Power & Instrum.,PIGL,Power & Instrumentation (Gujarat) Ltd,17.6,237,0.18,55,31,0.32,0.57,0.32,0.56,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Advent Hotels,ADVENTHTL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gallard Steel,544616,Gallard Steel Ltd,22.4,151,0.00,81,132,0.28,0.17,0.28,0.17,8.1,V:10.0 L:4.0 R:8.4 T:10.0,🚀 Inflection
Mazda,MAZDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yamuna Syndicate,540980,Yamuna Syndicate Ltd,44.5,877,1.75,30,18,1.48,2.47,1.40,2.25,7.6,V:6.4 L:5.6 R:10.0 T:8.4,📈 Accelerating
Innovators,541353,Innovators Facade Systems Ltd,17.6,237,0.00,17,78,1.04,0.23,1.04,0.23,7.2,V:6.4 L:4.0 R:8.4 T:10.0,📈 Accelerating
Indrapr.Medical,INDRAMEDCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
